Bangladesh;Robertton;13513793.10897097;801056555.9599051
Isle of Man;Tinaborough;11616619.640011942;42061807.876057036
Antarctica (the territory South of 60 deg S);North Paulport;4688508.5087273;999795005.4119415
Sweden;Lake Christopherburgh;7427506.246726154;861100423.2319405
Suriname;East George;6923859.745023448;917840577.4425665
Kenya;North Anthonymouth;9048794.486288957;460044671.88931286
Papua New Guinea;Lake Diana;10306587.654780984;471556994.2498364
Central African Republic;Lake Raymond;3132621.7715770593;127852986.03497978
Uruguay;Lindaville;5068285.269858965;52852132.728921056
Djibouti;New Zachary;11982977.318009283;1212813345.8918662
Saint Lucia;Carterburgh;11357219.917006742;147058539.9988273
Ethiopia;Hutchinsonfort;12355962.550348658;634743203.641435
Japan;New Stephanie;13943469.338859336;1385028144.3861504
Maldives;Smithview;19730987.544306222;467981026.4397862
Switzerland;Kimberlystad;12398788.8831491;190797319.95095503
Korea;South William;1972012.788199608;222871189.10645363
Madagascar;Boydmouth;14970073.432980705;1157360203.618496
Slovakia (Slovak Republic);East Erika;6692032.586719079;53330822.70156811
Turks and Caicos Islands;Sarahstad;4329674.970108234;705702320.9151769
Western Sahara;East Vincent;8994297.872336766;1375599439.5414705
Algeria;West Jillside;631663.1189810623;1130139149.8014653
Cyprus;Harrismouth;14531522.425288428;373259328.3568426
Cameroon;Christinahaven;8382086.059598914;1352236936.3789518
Congo;Mccannton;19980941.888180945;896379313.1815495
Lao People's Democratic Republic;Janetport;6837133.695734139;776963882.0220625
Tanzania;West Kendra;3768904.2376762023;775326896.5716506
Namibia;Saraland;13123842.901269477;757666331.115934
Somalia;Reedfort;19152118.42444673;1011786558.7514257
Aruba;Kingfort;752133.1663436064;342577903.15257615
Tonga;Howardport;737213.8805248623;1417734785.5090833
Nicaragua;New Carlyshire;14988338.49139003;511418334.789752
Mexico;Youngberg;4181977.7899981565;1089673437.5560658
Chad;Elaineport;14726613.948055094;1477592372.930735
Equatorial Guinea;Kathyberg;1195089.4618031133;598664392.9844049
Guernsey;Pittmantown;16817721.97744428;1452136367.837195
Oman;Port Scott;17677044.580501102;705389211.0682899
French Southern Territories;Michelleshire;2462359.633566797;582360515.4938717
Guam;South Ryan;1593666.5332909466;1240911087.5472472
Gambia;North Toddmouth;2283869.0506643862;709836167.7827888
Portugal;Lake Brookeport;5949031.577599325;1158260552.8158295
Bolivia;South Meganmouth;11231111.940552637;256126027.39518246
Bahrain;South Dustinfort;10200693.750845734;114418434.52093339
Singapore;New Leemouth;14145150.880819099;843919716.0642663
Ecuador;Smithton;9107281.599882206;1087583720.2818003
Montserrat;Lake Stephanie;11783550.011254858;274307027.9952321
Belgium;Chelseyfort;16463138.997803414;275817668.95255125
Luxembourg;Washingtonmouth;8828719.261097157;937063451.6632288
Hong Kong;Wilsonborough;11321607.942298243;723784993.3100628
Burundi;New Joseph;9029419.161492623;328383724.6959937
Pitcairn Islands;West Kathy;18852314.028555565;574566587.6158872
San Marino;Catherinetown;19560162.377227753;45653290.00859195
Sudan;East Juantown;4804933.787473608;1106333105.339728
United States Minor Outlying Islands;East Kathryn;1970345.8322683403;556882770.2735085
Cocos (Keeling) Islands;North Marciaton;2760598.1735556833;1174633144.2505062
Sri Lanka;South Taylor;13002720.821601456;212618650.58447695
Cook Islands;Port Michael;11931137.7266425;426423402.8049222
Faroe Islands;New Alicia;7058718.475384483;47159254.73685892
Guatemala;Perezmouth;10300917.95103767;998098455.5242648
Burkina Faso;Josephtown;6830484.997049097;287354927.4619329
Heard Island and McDonald Islands;South Mary;6594519.461555143;126401065.86940855
Bahamas;Port Ana;9394313.13792832;1387658006.469225
British Indian Ocean Territory (Chagos Archipelago);Port Justinmouth;13274839.511557374;26451483.839001838
Poland;Joshuachester;18314425.075720195;1262370219.4985058
Greece;New Shaunmouth;17397430.22564718;238498725.45268694
Wallis and Futuna;Craigbury;14064086.158030322;1444152793.6531394
Liberia;Millerfort;16686908.69095424;706720828.5307065
Cote d'Ivoire;Collinston;12944316.020213865;616355783.6318122
Malta;New Samantha;15984397.552287962;1023571848.5684938
Cape Verde;Martineztown;16284512.236194007;328199959.67576146
Argentina;Lake Brookeville;19795380.061904013;408049258.31510663
Saint Barthelemy;North Roy;10004714.683021415;16815933.886784237
