862;217;2021-07-04;5
31;218;2022-12-04;1
417;753;2020-01-17;4
757;642;2021-04-22;1
323;57;2022-04-19;5
538;22;2020-12-05;5
961;411;2021-11-24;3
609;788;2021-02-25;4
879;978;2022-09-08;4
114;359;2021-06-21;2
424;251;2022-04-18;1
328;966;2020-01-26;3
402;300;2021-11-26;1
661;528;2022-05-02;2
76;845;2021-04-30;1
387;870;2022-12-26;3
265;154;2020-02-28;5
400;484;2021-12-07;3
447;771;2020-07-24;5
413;471;2020-12-23;5
632;201;2022-09-16;5
514;521;2021-10-11;5
765;604;2022-11-15;1
527;68;2021-08-10;2
856;672;2020-01-06;5
27;259;2021-03-21;2
28;654;2022-05-04;4
189;909;2020-07-01;4
413;799;2022-09-13;5
339;654;2021-11-30;3
422;722;2021-08-21;1
966;454;2022-07-19;4
571;506;2021-04-04;5
7;123;2022-07-31;3
173;632;2022-03-21;4
673;550;2021-03-14;2
677;39;2020-07-09;5
11;144;2022-10-25;4
454;867;2020-09-08;4
905;928;2020-05-21;1
792;97;2022-06-17;5
428;46;2021-10-19;3
554;779;2022-07-19;2
48;374;2021-09-23;2
860;903;2021-04-11;1
60;866;2021-11-24;1
876;4;2021-08-23;1
24;746;2020-02-25;5
299;854;2020-07-17;2
404;63;2021-10-09;2
446;962;2020-04-10;4
670;338;2022-09-29;1
272;691;2021-04-12;5
292;612;2022-06-23;4
483;53;2022-06-19;2
795;549;2022-01-28;2
328;42;2021-10-27;4
180;607;2021-04-02;1
43;245;2021-04-05;5
79;645;2020-06-30;5
911;1;2022-08-23;1
854;415;2020-12-03;2
757;603;2022-02-17;5
106;213;2020-11-14;4
641;413;2020-12-25;2
507;323;2022-07-13;3
542;534;2021-12-18;3
903;727;2021-07-17;3
675;523;2022-08-17;4
192;160;2020-12-23;5
71;698;2020-03-17;2
589;426;2021-11-04;5
769;693;2020-10-11;2
362;420;2021-12-19;4
214;284;2022-03-21;2
13;774;2021-07-23;1
690;606;2021-05-24;5
67;193;2020-06-04;4
913;909;2022-03-16;3
417;648;2021-04-04;3
967;831;2020-11-17;5
461;522;2022-02-07;3
678;700;2021-12-06;5
677;274;2020-11-22;1
257;522;2021-10-02;1
755;541;2021-04-17;2
813;965;2020-09-19;4
476;494;2021-09-17;1
682;330;2020-09-24;4
230;473;2020-07-27;2
520;52;2020-05-28;3
352;856;2020-08-10;5
348;726;2022-02-23;5
505;684;2021-08-05;4
216;621;2022-07-15;2
169;207;2021-02-25;2
673;194;2021-11-19;2
235;941;2022-11-21;2
257;781;2022-02-01;4
83;979;2021-08-01;1
692;324;2022-10-31;2
990;992;2020-04-30;3
333;120;2022-04-02;3
332;563;2021-10-06;1
452;384;2022-05-20;2
854;422;2022-08-21;3
324;280;2021-07-29;3
791;366;2022-03-02;5
735;11;2021-11-29;5
123;872;2020-05-31;5
