('Bouvet Island (Bouvetoya)','North Stephanieshire',12433837.306162648,1376874490.8914921),
('Malawi','East Veronicaland',15734912.838497529,819218566.4383454),
('Qatar','Johnshire',13167066.25305107,965771012.4258128),
('Uzbekistan','Lake Rachel',19192878.514021903,665876545.1274337),
('Palau','North Rebeccaview',18967940.082663797,132818098.83108878),
('Malaysia','Lake Brittanyburgh',9461195.616154777,68350759.32727444),
('Mauritania','Mejiastad',11297848.236580627,165173617.57243028),
('Sao Tome and Principe','Lake Frankburgh',2680883.996267413,288126274.7176906),
('Comoros','Hensonport',11343656.39345067,1332666179.9224977),
('French Southern Territories','Brandonland',6372105.137746035,6495232.843681171),
('Tanzania','Amyfurt',5177899.498951626,791411595.6264479),
('Libyan Arab Jamahiriya','Marshallside',16011196.353310497,550312549.5843387),
('Honduras','South Mark',3635635.8662220994,378236219.1278849),
('Andorra','West Valerie',946848.2186592435,1266546094.0207045),
('India','West Paulmouth',11927804.299665019,905525166.1523645),
('Marshall Islands','Gayland',14806724.555921534,359311220.8496038),
('Indonesia','Lake Sarah',16853570.074588254,106736192.0957052),
('Holy See (Vatican City State)','Leslieton',13063656.028342737,377117787.74269694),
('Sierra Leone','West Christopherfurt',701060.9104389859,1320358170.8593636),
('China','Markland',17272115.859552085,22438333.66928913),
('Mongolia','Coopermouth',550373.7220796284,122525372.5104474),
('Dominican Republic','Allenchester',18595659.519526225,789442555.0651449),
('Pakistan','Lake Renee',2981005.4194514006,597482876.0051847),
('Bosnia and Herzegovina','Lake Jacqueline',715805.8012708651,657534794.0732472),
('Portugal','Williamberg',6795748.029248252,673866744.7569834),
('Bahrain','Miguelmouth',10201675.769892503,1457923073.63591),
('Grenada','Crystalport',3055251.1763689043,241196649.8745371),
('Montenegro','Lake Jeremyville',3272280.473983066,1038474375.2013347),
('Cameroon','New Timothy',14936346.682993956,446540138.09261996),
('Netherlands Antilles','West Robertfort',1551230.938709635,864335870.0657867),
('Singapore','Crawfordmouth',19967082.115995258,1304242605.4715478),
('Japan','North Debramouth',15029294.473656418,138413041.31354308),
('Vanuatu','Andersonshire',17652545.542777725,35075058.76692238),
('Finland','Nguyenton',6646734.329106212,685593684.7750565),
('San Marino','Lake Denise',5635064.0678840345,400393974.79965997),
('Lao People's Democratic Republic','Grahammouth',19289714.092324894,1018550166.3276954),
('Guinea','Normatown',5616840.155006332,643779586.6732783),
('Gambia','Shelbyland',17616132.526013672,1010961887.0826224),
('Sri Lanka','Bonnieland',9807995.333423443,274712044.4217023),
('Namibia','Johnside',15069086.49557635,1274421023.6209962),
('Saudi Arabia','Jonathanshire',9377243.94963692,72569916.48071674),
('Bangladesh','Port Garybury',10551167.28597549,1185118656.4350162),
('Armenia','Angelaburgh',14669362.20985932,746932331.8371507),
('Thailand','Lake Samuelfort',716191.6450328348,1492126352.1973953),
('Suriname','South Kimborough',10951409.876480112,1193356096.8255062),
('Canada','Port Jasmine',3319589.388914425,1352388199.4240706),
('Iraq','Bethton',16359294.653314073,61635877.4630634),
('Ecuador','Lake Lisa',1576858.2575097806,879217650.4117441),
('New Caledonia','Jamesfurt',3882342.052210092,1455615276.1554885),
('Christmas Island','Port Carlstad',15450462.666485928,1022765435.7245721),
('Madagascar','Teresaburgh',7889832.109121392,1379707661.1842575),
('Angola','South Robertside',2615782.8118853117,1194095033.293588),
('Northern Mariana Islands','East Danielle',17022158.599681478,765549400.2213022),
('Nigeria','Lorihaven',3431966.6728677074,1381862272.8750045),
('Saint Vincent and the Grenadines','West Patricia',10769275.864495274,965878607.9820226),
('Belize','Karenville',13479942.004048392,73436422.53723156),
('Saint Helena','Kristinatown',15674613.401910715,1493840115.9002426),
